Date,Symbol,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-09-27,JNJ,163.091,163.191,158.746,160.115,29809000,0.0,0.0
2024-10-04,JNJ,160.284,161.455,157.516,159.014,25224700,0.0,0.0
2024-10-11,JNJ,158.974,161.365,157.685,160.175,25126900,0.0,0.0
2024-10-18,JNJ,160.115,165.423,157.734,163.806,33200100,0.0,0.0
2024-10-25,JNJ,163.786,164.679,159.332,159.599,30991300,0.0,0.0
2024-11-01,JNJ,159.847,160.879,157.764,158.855,29750200,0.0,0.0
2024-11-08,JNJ,158.429,159.57,154.173,154.232,36566600,0.0,0.0
2024-11-15,JNJ,154.381,156.326,149.56,152.774,40535000,0.0,0.0
2024-11-22,JNJ,151.375,155.869,150.602,153.935,43216300,0.0,0.0
2024-11-29,JNJ,153.935,156.63,153.16,155.01,27767900,1.24,0.0
2024-12-06,JNJ,154.75,155.0,148.38,149.31,42241700,0.0,0.0
2024-12-13,JNJ,149.29,150.89,145.04,146.62,45756900,0.0,0.0
2024-12-20,JNJ,146.73,147.25,142.75,144.47,55631000,0.0,0.0
2024-12-27,JNJ,144.63,146.6,143.45,145.05,22129500,0.0,0.0
2025-01-03,JNJ,144.84,145.77,142.95,144.19,24010200,0.0,0.0
2025-01-10,JNJ,143.51,147.18,140.68,142.06,36329600,0.0,0.0
2025-01-17,JNJ,142.98,148.38,142.31,147.03,46229800,0.0,0.0
2025-01-24,JNJ,147.56,148.86,142.11,146.82,48340100,0.0,0.0
2025-01-31,JNJ,148.45,154.14,148.0,152.15,49998100,0.0,0.0
2023-02-03,PFE,39.298,39.79,38.851,39.432,83503500,0.0,0.0
2023-02-10,PFE,39.549,39.674,38.699,39.271,99861800,0.0,0.0
2023-02-17,PFE,39.092,39.558,38.108,38.672,90505000,0.0,0.0
2023-02-24,PFE,38.314,38.421,37.15,37.365,72661200,0.0,0.0
2023-03-03,PFE,37.088,37.347,35.629,36.828,118594200,0.0,0.0
2023-03-10,PFE,36.774,36.927,35.11,35.253,104309900,0.0,0.0
2023-03-17,PFE,35.137,36.506,35.137,35.888,163935100,0.0,0.0
2023-03-24,PFE,35.924,36.613,35.683,36.148,90427800,0.0,0.0
2023-03-31,PFE,36.282,36.542,35.674,36.515,84257900,0.0,0.0
2023-04-07,PFE,36.416,37.786,36.381,37.141,95961100,0.0,0.0
2023-04-14,PFE,36.828,37.58,36.631,36.864,90984900,0.0,0.0
2023-04-21,PFE,36.801,36.989,35.611,35.987,92723100,0.0,0.0
2023-04-28,PFE,35.969,35.978,34.286,34.805,107965100,0.0,0.0
2023-05-05,PFE,34.904,35.906,34.027,34.447,133370300,0.0,0.0
2023-05-12,PFE,34.483,34.662,33.662,33.789,97025800,0.41,0.0
2023-05-19,PFE,33.744,34.06,32.721,33.264,126142300,0.0,0.0
2023-05-26,PFE,33.346,36.313,33.246,34.015,250925700,0.0,0.0
2023-06-02,PFE,33.798,34.974,33.355,34.703,113515100,0.0,0.0
2023-06-09,PFE,34.811,35.815,34.495,35.254,100318200,0.0,0.0
2023-06-16,PFE,35.291,36.521,35.273,36.241,157155800,0.0,0.0
2023-06-23,PFE,35.924,36.069,34.63,34.648,86396100,0.0,0.0
2023-06-30,PFE,33.49,33.517,32.35,33.183,175751200,0.0,0.0
2023-07-07,PFE,33.02,33.49,31.98,32.142,94005800,0.0,0.0
2023-07-14,PFE,32.179,33.011,32.151,32.857,87312800,0.0,0.0
2023-07-21,PFE,32.676,33.861,32.369,33.834,108464700,0.0,0.0
2023-07-28,PFE,33.843,34.196,32.949,32.994,111569800,0.41,0.0
2023-08-04,PFE,33.095,33.772,31.705,32.034,166912400,0.0,0.0
2023-08-11,PFE,32.025,33.269,31.924,32.967,109065100,0.0,0.0
